年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,6班,尚知韶,113,76,114.5,44,47,67,/,/,/
本高2023届,6班,羿澄洋,113,141,115,79,69,75,/,/,/
本高2023届,6班,黄升意,108,119,116,77,68,/,/,/,74
本高2023届,6班,洪杏暖,111,97,126,70,63,70,/,/,/
本高2023届,7班,柳蕙纯,112,124,144,91,76,77,/,/,/
本高2023届,7班,顾婉多,113,131,142.5,/,/,/,70,86,73
本高2023届,7班,支洵伦,124,108,137,/,/,/,80,83,70
本高2023届,7班,牧利桦,120,105,139.5,83,73,/,/,/,71
本高2023届,7班,方巧霏,126,104,136,67,69,81,/,/,/
本高2023届,7班,高景景,105,110,138,61,66,82,/,/,/
本高2023届,8班,尚蜜晟,109,78,110.5,60,45,54,/,/,/
本高2023届,8班,邢遥宏,106,83,122,57,48,68,/,/,/
本高2023届,8班,邴容良,97,99,110.5,51,42,60,/,/,/
本高2023届,8班,霍一欣,103,77,108.5,30,17,60,/,/,/
本高2023届,8班,褚舰华,99,92,118.5,54,48,55,/,/,/
本高2023届,8班,戚望田,111,64,115,66,55,69,/,/,/
本高2023届,8班,娄昀瑗,93,103,111.5,76,56,71,/,/,/
本高2023届,8班,宋格竹,104,88,106.5,52,52,58,/,/,/
本高2023届,8班,刁嫚津,111,87,131.5,57,69,62,/,/,/
本高2023届,8班,卫金队,107,100,132.5,70,34,66,/,/,/
本高2023届,9班,杨庄肖,97,66,108.5,39,26,/,65,/,/
本高2023届,9班,荣菲兰,112,86,117.5,67,46,/,/,/,46
本高2023届,9班,薛琼礼,102,84,128,53,33,/,61,/,/
本高2023届,9班,赖纯典,99,64,101,51,24,/,/,/,62
本高2023届,9班,杜莲莹,106,72,107.5,28,24,/,67,/,/
本高2023届,9班,韩珊冶,95,80,118.5,66,55,75,/,/,/
本高2023届,9班,杜勇莹,95,95,103,70,61,63,/,/,/
本高2023届,9班,郁露芸,114,88,126,78,43,69,/,/,/
本高2023届,9班,束殉绮,108,85,122.5,66,53,/,69,/,/
本高2023届,9班,水煦笛,108,80,136,53,39,/,68,/,/
本高2023届,10班,颜颉弘,103,77,108,46,/,71,/,/,65
本高2023届,10班,韶琨畅,109,78,133,48,/,62,/,/,57
本高2023届,10班,秦晨尤,101,56,108.5,30,/,64,/,/,53
本高2023届,10班,农霞中,100,72,101,33,/,69,/,/,55
本高2023届,10班,顾子朋,89,63,78,39,/,52,/,/,55
本高2023届,10班,柳侃漫,105,98,90.5,44,45,60,/,/,/
本高2023届,10班,马迅中,103,87,111,63,/,64,/,/,72
本高2023届,10班,伊盼梦,90,35,124,21,/,42,/,/,52
本高2023届,10班,石洵晗,94,66,98.5,46,/,58,/,/,55
本高2023届,10班,沈保闻,94,92,96,37,/,69,/,/,55
本高2023届,10班,诸晟啸,109,87,116.5,51,44,66,/,/,/
本高2023届,10班,时万锁,108,89,117.5,56,/,64,/,/,67
本高2023届,10班,岑陵益,100,96,86,53,50,72,/,/,/
本高2023届,10班,赵榕伟,105,80,132,45,/,64,/,/,59
本高2023届,10班,咎野漪,100,106,113.5,61,55,61,/,/,/
本高2023届,11班,周争奔,99,69,102.5,75,47,/,/,/,74
本高2023届,11班,司楠硕,118,90,117.5,59,39,/,/,/,68
本高2023届,11班,朱茜莎,102,68,121.5,61,38,/,/,/,62
本高2023届,11班,邢栋墩,103,73,89,28,45,/,/,/,46
本高2023届,11班,左磊庚,71,42,58.5,37,20,/,/,/,47
本高2023届,11班,诸轩煦,109,90,114,57,58,/,/,/,65
本高2023届,11班,高莲杨,94,94,108.5,47,59,/,/,/,64
本高2023届,11班,林歌艳,113,94,120,55,53,/,/,/,70
本高2023届,11班,董雷坦,97,75,103,45,61,/,/,/,59
本高2023届,11班,蒙慧茉,107,95,112.5,51,65,/,/,/,56
本高2023届,11班,孙蕴如,109,92,119,53,38,/,/,/,59
