年级,班级,姓名,语文,数学,外语,物理,化学,生物,政治,历史,地理
本高2023届,2班,蒙微喆,114,70,119,/,/,/,81,60,57
本高2023届,2班,晏菊优,114,104,102,/,/,/,87,68,75
本高2023届,2班,袁雯鸽,121,109,113,/,/,/,81,71,65
本高2023届,2班,诸跃千,123,66,117.5,/,/,/,72,71,68
本高2023届,2班,诸锋渊,101,100,120.5,/,/,/,90,68,56
本高2023届,3班,毕禄勉,117,83,118,/,/,76,78,73,/
本高2023届,3班,萧容珑,120,77,109.5,/,/,/,85,81,52
本高2023届,3班,经琴薇,113,62,127,/,/,62,63,72,/
本高2023届,4班,明熠子,107,11,113,/,/,/,88,80,68
本高2023届,4班,刁鹃婧,79,43,31,/,/,/,/,54,/
本高2023届,4班,韩耀琥,112,70,125,/,/,/,71,33,44
本高2023届,4班,颜灵欣,120,78,98.5,/,/,/,82,87,65
本高2023届,4班,崔姬竹,100,83,126.5,/,/,41,60,73,/
本高2023届,4班,蓬戈钥,61,64,82,/,/,/,52,80,53
本高2023届,4班,霍岚玥,98,54,102.5,/,/,38,40,73,/
本高2023届,4班,水祺丹,107,73,125,/,/,54,75,63,/
本高2023届,5班,纪雯燕,110,85,110,81,61,/,/,/,77
本高2023届,5班,花旻斐,96,80,107,67,49,/,/,/,55
本高2023届,5班,柯咪愉,107,106,105.5,64,70,/,/,/,61
本高2023届,5班,宋曦阳,104,99,108.5,67,67,/,/,/,65
本高2023届,5班,谢曦品,85,80,72.5,53,29,/,/,/,43
本高2023届,6班,刘曙研,120,102,121,68,56,68,/,/,/
本高2023届,6班,赖年鹰,106,97,124,78,64,/,68,/,/
本高2023届,6班,农潜靖,98,92,112,60,44,53,/,/,/
本高2023届,6班,郎荔蓉,104,89,122,65,62,75,/,/,/
本高2023届,6班,井潜霄,112,102,131.5,57,57,75,/,/,/
本高2023届,6班,祁连蕴,112,99,130,70,67,83,/,/,/
本高2023届,6班,褚赢严,112,89,120.5,55,67,75,/,/,/
本高2023届,6班,平元桐,105,99,142.5,73,73,/,/,/,65
本高2023届,6班,尚知韶,112,93,99,53,50,66,/,/,/
本高2023届,6班,羿澄洋,100,124,107.5,71,88,76,/,/,/
本高2023届,6班,黄升意,117,121,123,86,82,/,/,/,55
本高2023届,6班,洪杏暖,112,42,126.5,84,65,78,/,/,/
本高2023届,7班,柳蕙纯,124,134,136,95,86,91,/,/,/
本高2023届,7班,顾婉多,127,125,136,/,/,/,82,79,76
本高2023届,7班,支洵伦,122,117,136,/,/,/,83,89,72
本高2023届,7班,牧利桦,116,129,138.5,83,81,/,/,/,75
本高2023届,7班,方巧霏,115,124,124.5,79,79,88,/,/,/
本高2023届,7班,高景景,109,123,139.5,82,71,86,/,/,/
本高2023届,8班,尚蜜晟,100,87,109,49,49,57,/,/,/
本高2023届,8班,邢遥宏,111,100,118,73,48,62,/,/,/
本高2023届,8班,邴容良,93,85,97.5,54,46,47,/,/,/
本高2023届,8班,霍一欣,106,62,114,47,39,35,/,/,/
本高2023届,8班,褚舰华,105,108,112.5,60,59,67,/,/,/
本高2023届,8班,戚望田,109,78,118,79,53,69,/,/,/
本高2023届,8班,娄昀瑗,109,112,123.5,88,78,74,/,/,/
本高2023届,8班,宋格竹,97,127,124.5,62,70,68,/,/,/
本高2023届,8班,刁嫚津,107,105,123,65,70,67,/,/,/
本高2023届,8班,卫金队,104,106,110.5,48,52,81,/,/,/
本高2023届,9班,杨庄肖,89,68,106.5,51,33,/,73,/,/
本高2023届,9班,荣菲兰,101,105,109.5,65,60,/,/,/,56
本高2023届,9班,薛琼礼,107,86,122,48,48,/,85,/,/
